Store,Year,MonthN,Monthly_Sales_in_Million
39,2011,April,6.96
39,2011,May,5.48
39,2011,June,5.8
39,2011,July,7.07
39,2011,August,6.24
39,2011,September,6.92
39,2011,October,5.77
39,2011,November,6.86
39,2011,December,9.5
39,2012,January,5.56
39,2012,February,5.76
39,2012,March,7.42
39,2012,April,6.24
39,2012,May,6.1
39,2012,June,7.88
39,2012,July,6.2
39,2012,August,8.41
39,2012,September,6.11
39,2012,October,6.22
40,2010,February,3.74
40,2010,March,3.66
40,2010,April,4.51
40,2010,May,3.81
40,2010,June,3.97
40,2010,July,4.98
40,2010,August,3.84
40,2010,September,3.64
40,2010,October,4.54
40,2010,November,3.92
40,2010,December,5.75
40,2011,January,3.21
40,2011,February,3.69
40,2011,March,3.54
40,2011,April,4.48
40,2011,May,3.8
40,2011,June,4.01
40,2011,July,5.02
40,2011,August,3.93
40,2011,September,4.66
40,2011,October,3.89
40,2011,November,4.18
40,2011,December,5.93
40,2012,January,3.32
40,2012,February,3.87
40,2012,March,4.49
40,2012,April,3.76
40,2012,May,3.85
40,2012,June,5.12
40,2012,July,4.09
40,2012,August,4.98
40,2012,September,3.81
40,2012,October,3.89
41,2010,February,4.21
41,2010,March,4.11
41,2010,April,5.43
41,2010,May,4.7
41,2010,June,4.9
41,2010,July,6.03
41,2010,August,5.15
41,2010,September,4.62
41,2010,October,5.71
41,2010,November,5.38
41,2010,December,7.51
41,2011,January,4.32
41,2011,February,4.63
41,2011,March,4.64
41,2011,April,6.06
41,2011,May,5.04
41,2011,June,5.14
41,2011,July,6.46
41,2011,August,5.5
41,2011,September,6.1
41,2011,October,5.01
41,2011,November,5.76
41,2011,December,8.05
41,2012,January,4.54
41,2012,February,5.0
41,2012,March,6.14
41,2012,April,5.25
41,2012,May,5.47
41,2012,June,6.94
41,2012,July,5.48
41,2012,August,7.33
41,2012,September,5.28
41,2012,October,5.45
42,2010,February,2.12
42,2010,March,2.14
42,2010,April,2.61
42,2010,May,2.14
42,2010,June,2.18
42,2010,July,2.6
42,2010,August,2.13
42,2010,September,2.14
42,2010,October,2.64
42,2010,November,2.2
42,2010,December,2.61
42,2011,January,2.24
42,2011,February,2.3
42,2011,March,2.26
42,2011,April,2.76
42,2011,May,2.24
42,2011,June,2.21
42,2011,July,2.68
42,2011,August,2.21
42,2011,September,2.76
42,2011,October,2.32
42,2011,November,2.39
42,2011,December,2.76
42,2012,January,2.42
42,2012,February,2.43
42,2012,March,2.97
42,2012,April,2.37
42,2012,May,2.38
42,2012,June,2.82
42,2012,July,2.29
42,2012,August,2.77
42,2012,September,2.24
42,2012,October,2.26
43,2010,February,2.61
43,2010,March,2.6
43,2010,April,3.29
43,2010,May,2.68
43,2010,June,2.69
43,2010,July,3.35
43,2010,August,2.78
43,2010,September,2.79
43,2010,October,3.36
43,2010,November,2.42
43,2010,December,2.96
43,2011,January,2.39
43,2011,February,2.51
43,2011,March,2.47
43,2011,April,3.15
43,2011,May,2.56
43,2011,June,2.54
43,2011,July,3.0
43,2011,August,2.43
43,2011,September,3.0
43,2011,October,2.4
43,2011,November,2.56
43,2011,December,3.05
43,2012,January,2.54
43,2012,February,2.57
43,2012,March,3.23
43,2012,April,2.56
43,2012,May,2.52
43,2012,June,3.09
43,2012,July,2.44
43,2012,August,3.09
43,2012,September,2.47
43,2012,October,2.47
44,2010,February,1.11
44,2010,March,1.1
44,2010,April,1.37
44,2010,May,1.13
44,2010,June,1.16
44,2010,July,1.45
44,2010,August,1.17
44,2010,September,1.14
44,2010,October,1.4
44,2010,November,1.14
44,2010,December,1.43
44,2011,January,1.13
44,2011,February,1.16
44,2011,March,1.15
44,2011,April,1.43
44,2011,May,1.22
44,2011,June,1.21
44,2011,July,1.48
44,2011,August,1.2
44,2011,September,1.52
44,2011,October,1.22
44,2011,November,1.24
44,2011,December,1.54
44,2012,January,1.26
44,2012,February,1.29
44,2012,March,1.56
44,2012,April,1.28
44,2012,May,1.34
44,2012,June,1.68
44,2012,July,1.35
44,2012,August,1.68
44,2012,September,1.38
44,2012,October,1.36
45,2010,February,3.13
45,2010,March,3.1
45,2010,April,3.98
45,2010,May,3.12
45,2010,June,3.24
45,2010,July,3.74
45,2010,August,2.9
45,2010,September,2.91
45,2010,October,3.61
45,2010,November,3.44
45,2010,December,5.37
45,2011,January,2.6
45,2011,February,3.06
45,2011,March,2.93
45,2011,April,3.83
45,2011,May,3.15
45,2011,June,3.27
45,2011,July,3.75
45,2011,August,3.04
45,2011,September,3.6
45,2011,October,3.03
45,2011,November,3.59
45,2011,December,5.3
45,2012,January,2.72
45,2012,February,3.17
45,2012,March,3.92
45,2012,April,3.17
45,2012,May,3.17
45,2012,June,4.05
45,2012,July,3.04
45,2012,August,3.63
45,2012,September,2.91
45,2012,October,2.95
